Question,Answer
전체 인원 중에 보안 해킹 쪽 준비하시는 분들이 몇 명 정도 되나요?,동아리 내에서 보안 및 해킹 분야를 진로로 선택한 사람은 없습니다.
부원 중에 문과도 있나요?,"네, 에코노베이션은 전공 무관 IT 개발 동아리로 문/이과 상관없이 가입할 수 있습니다. 실제로 동아리원 중에도 문과이신 분들이 많아요!"
비전공국비생인데 한 학기만 포트폴리오 목적으로 할 수는 없는지요?,에코노베이션은 3학기 활동이 원칙입니다.
동방 방문은 사전에 예약해야 할까요?,에코노베이션 동아리 회원은 언제든지 동방을 이용할 수 있습니다! 비회원분들은 오픈 동방 행사를 이용해주세요!
기획자로 들어가서 코딩 스터디를 할 수도 있는 건가요?,에코노베이션 내의 스터디는 모두에게 열려있습니다.
한 번 선택한 직무는 시간이 흘러도 그대로 유지 되나요?,"그 부분에 대해 제한사항은 없지만, 기획자가 개발자로 전환하는 등의 사례는 지금까지 없었습니다."
신입 기수는 처음에 신입 기수끼리 프로젝트를 진행하는 것으로 알고 있습니다. 이후에는 어떤 식으로 팀을 이루나요?,2학기 활동부터는 팀빌딩 행사를 통해 활동 회원들끼리 자유롭게 팀을 구성합니다!
에코노베이션에서는 어떤 활동을 할 수 있나요?,단순히 프로그래밍 지식에만 치중하지 않고 다양한 지식을 서로 공유하여 융합형 인재로 거듭날 수 있습니다.
에코노베이션에서는 어떤 활동을 할 수 있나요?,"앱, 웹, 게임, AI 등 IT 프로젝트를 동아리 회원들은 학기가 시작 되면 팀을 모아 프로젝트를 진행합니다."
에코노베이션에서는 어떤 활동을 할 수 있나요?,멘토 멘티가 함께 한 주에 한 번씩 만나 주간 미팅을 진행합니다. 멘토들의 깊은 피드백과 팀원들 간의 의견을 공유할 수 있습니다.
에코노베이션에서는 어떤 활동을 할 수 있나요?,"관심 분야가 같은 동아리 부원들과 스터디를 진행할 수 있습니다. Spring, JAVA, 알고리즘, React, TypeScript 등의 스터디들이 준비되어 있습니다."
에코노베이션에서는 어떤 활동을 할 수 있나요?,타 대학 개발 동아리와의 교류 및 네이버 DEVIEW CAMPUS 참여와 같은 활동을 통해 구성원들에게 다양한 경험을 제공하도록 노력하고 있습니다.
회장단은 무슨 일을 하나요?,"우리 회장단은 동아리 내부적으로는 에코노베이션 회원들의 관리와 주간발표, 에코노베이션을 위한 각종 프로젝트(신입 모집, DEV 등)의 전체적인 진행을 맡고 있으며 대외적으로는 외부 행사, 대회, 지원사업에 동아리가 참가하고 지원하는 것을 관리하고 있습니다. 또한 동아리의 재정적인 부분도 담당하여 모든 활동이 조금 더 원활하게 진행될 수 있도록 하고 있습니다."
새로 들어올 신입 회원에게 한마디 해주세요!,이번에 새로 들어오시게 된 여러분을 정말 환영하고 동아리 활동을 하며 궁금한 점이나 힘든 점이 있다면 언제나 회장단에게 도움을 요청해주세요.
회장단은 무슨 일을 하나요?,"모든 회원이 에코노베이션 활동을 더 즐겁고 열정적으로 할 수 있도록 환경을 조성하는 것이 우리의 목표이고, 이를 위해서 노력하고 있습니다. 에코노베이션에 가장 열정적인 사람은 우리 회장단이라고 감히 이야기할 수 있을 정도로 정말 많은 부분에 관여하고, 돕고 있습니다."
관리부는 무슨 일을 하나요?,저희는 에코노베이션의 기자재와 인프라를 관리하는 부서입니다. 주체적으로 부원들에게 쾌적한 개발 환경을 제공하고 어떻게 향상시킬 수 있을지 고민하기 위해 노력합니다.
관리부는 무슨 일을 하나요?,"기자재와 인프라 관리, 동아리가 가지고 있는 서버에 대한 관리(서버 IP, Port, 서버 자원 관리), 에코노 삡 서비스 운영 (리액트 웹, 스프링부트 서버)"
행사부는 무슨 일을 하나요?,우!즐!모!즐! (우리가 즐거워야 모두가 즐겁다!) 여러분 안녕하세요!? 함께 있는 시간을 즐겁게 만드는 행사부입니다~ 저희는 에코노베이션의 다양한 친목 행사 및 여러분들의 동아리 활동을 더 즐겁게 할 수 있는 다양한 행사를 기획하는 부서입니다~ 동아리가 더 즐겁고 행복할 수 있게 개개인의 의견을 매우 존중해 높은 자율성을 가지고 활동할 수 있습니다.
행사부는 무슨 일을 하나요?,행사부는 정해진 행사에 국한되지 않습니다. 내가 하고 싶다면 새로 행사를 기획할 수도 있습니다!
홍보부는 무슨 일을 하나요?,홍보부는 에코노베이션을 홍보하고 기록하는 부서입니다.
홍보부는 무슨 일을 하나요?,"에코노베이션을 홍보하고 기록합니다. (신입모집, 최종발표 등)"
홍보부는 무슨 일을 하나요?,에코노베이션의?능력자분들의 이야기/경험들을 연재합니다.
홍보부는 무슨 일을 하나요?,"에코노베이션의 소중한 시간들을 사진, 영상?으로 기록합니다."
홍보부는 무슨 일을 하나요?,"에코노베이션의 소통창구(인스타그램, 블로그, 유튜브, 페이스북)을 관리합니다."
전공이 무관한데 들어갈 수 있나요?,"네, 에코노베이션은 전공 무관 IT 개발 동아리로 문/이과 상관없이 가입할 수 있습니다. 실제로 동아리원 중에도 문과이신 분들이 많아요!"
에코노베이션에서는 얼마나 활동해야 하나요?,에코노베이션은 3학기 이상 활동이 원칙입니다.
모집 대상이 어떻게 되나요?,"3학기 이상 활동할 수 있는, 협업의 중요성을 알고 IT분야에 관심과 열정이 있는 전남대 학생을 모집하고 있습니다!"
모집 분야는 어떻게 되나요?,"웹, 애플리케이션, 게임, AI 분야의 개발자와 IT 관련 PM(기획자) 그리고 UI/UX 디자이너를 모집하고 있습니다."
어떻게 지원할 수 있나요?,econovation.kr에 접속 혹은 포스터 QR 코드 스캔 후에 지원 폼 양식에 맞게 질문에 답변한 후 제출하시면 됩니다!
모집 방법이 뭔가요?,econovation.kr에 접속 혹은 포스터 QR 코드 스캔 후에 지원 폼 양식에 맞게 질문에 답변한 후 제출하시면 됩니다!
에코노베이션에는 어떤 부서가 있나요?,"홍보부, 행사부, 관리부, 그리고 회장단이 있습니다!"
동방의 위치가 어디인가요?,전남대학교 정보화본부 101호 팀학습실 17 입니다 :)
에코노베이션은 언제 만들어진 동아리인가요?,에코노베이션은 2011년에 시작되었습니다 :)
언제 모집하나요?,에코노베이션은 매 학기 초마다 신입 기수를 모집하고 있습니다!
활동하는 요일이 정해져 있나요?,고정적으로 정해진 활동으로는 금요일 17시에 진행되는 주간 발표가 있습니다! 이외에 팀 프로젝트를 진행할 때에는 팀원들끼리 가능한 시간을 자유롭게 상의하여 활동하실 수 있습니다 :)
IT는 잘 모르지만 배우려는 열정이 있어도 가능한가요?,배우고자 하는 의지만 있다면 충분히 지원 가능하니 도전하세요! 에코노베이션은 코딩을 하나부터 열까지 수업식으로 가르치는 동아리는 아니지만 멘토링 제도가 있으니 언제든지 조언 또는 문제 해결에 도움을 받으실 수 있습니다 :)
코딩을 아예 할 줄 모르는데… 활동하는 데 어렵겠죠?,에코노베이션의 주요 활동에는 기획한 프로젝트를 한 학기 동안 개발해 나가는 팀 프로젝트와 매주 금요일에 모여서 프로젝트의 진행 상황과 공부 내용을 공유하는 주간 발표가 있습니다. 이 과정에서 그 프로젝트 개발을 위해 필요한 공부를 자발적으로 해나갑니다. 따라서 현재 코딩을 할 줄 모르시더라도
에코노베이션은 어디 소속인가요?,에코노베이션은 전산원 소속 동아리입니다 :)
몇 명 뽑나요?,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :)
몇 명 모집하나요?,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :)
모집 인원이 어느 정도인가요?,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :)
모집 주기는 얼마나 되나요?,에코노베이션은 매 학기 초마다 신입 기수를 모집하고 있습니다!
모집 주기는 학기마다인가요?,에코노베이션은 매 학기 초마다 신입 기수를 모집하고 있습니다!
정해진 활동 요일 있나요?,고정적으로 정해진 활동으로는 금요일 17시에 진행되는 주간 발표가 있습니다! 이외에 팀 프로젝트를 진행할 때에는 팀원들끼리 가능한 시간을 자유롭게 상의하여 활동하실 수 있습니다 :)
휴학생도 활동 가능한가요?,"에코노베이션은 나이, 휴학 여부, 전공에 관계없이 IT에 관심이 있고 열정이 있다면 누구에게나 열려있는 동아리입니다. 졸업학기 포함 3학기 이상 남으셨다면 지원이 가능합니다."
졸업이 얼마 안 남았는데 가능한가요?,"에코노베이션은 나이, 휴학 여부, 전공에 관계없이 IT에 관심이 있고 열정이 있다면 누구에게나 열려있는 동아리입니다. 졸업학기 포함 3학기 이상 남으셨다면 지원이 가능합니다."
경쟁률이 얼마나 되나요?,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :) 따라서 경쟁률은 따로 알려드리기 어려울 것 같습니다.
경쟁률 높겠지…,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :) 따라서 경쟁률은 따로 알려드리기 어려울 것 같습니다.
2학기에도 모집하시나요?,에코노베이션은 매 학기 초마다 신입 기수를 모집하고 있습니다!
내년 1학기에도 모집하시나요?,에코노베이션은 매 학기 초마다 신입 기수를 모집하고 있습니다!
동아리 인원이 어느 정도인가요?,2023-2학기 현재 활동 인원은 대략 30명입니다!
동아리 규모가 어느 정도인가요?,2023-2학기 현재 활동 인원은 대략 30명입니다!
한 기수마다 어느 정도 뽑나요?,선발 인원은 고정적이지 않고 유동적입니다! 한 분야에 0~2팀 정도 뽑으며 보통 한 팀은 2~3명으로 구성됩니다. 최종 선발 인원은 대략 10명 내외로 예상하고 있습니다 :)
현재는 몇 기수까지 모집되었나요?,2023-2학기 현재는 26기까지 모집되었습니다 :)
동아리 위치가 어디인가요?,전남대학교 정보화본부 101호 팀학습실 17 입니다!
